"","x"
"867","ENSG00000065911"
"868","ENSG00000065923"
"869","ENSG00000065970"
"870","ENSG00000065978"
"871","ENSG00000065989"
"872","ENSG00000066027"
"873","ENSG00000066044"
"874","ENSG00000066056"
"875","ENSG00000066084"
"876","ENSG00000066117"
"877","ENSG00000066135"
"878","ENSG00000066136"
"879","ENSG00000066185"
"880","ENSG00000066230"
"881","ENSG00000066248"
"882","ENSG00000066279"
"883","ENSG00000066294"
"884","ENSG00000066322"
"885","ENSG00000066336"
"886","ENSG00000066379"
"887","ENSG00000066382"
"888","ENSG00000066405"
"889","ENSG00000066422"
"890","ENSG00000066427"
"891","ENSG00000066455"
"892","ENSG00000066468"
"893","ENSG00000066557"
"894","ENSG00000066583"
"895","ENSG00000066629"
"896","ENSG00000066651"
"897","ENSG00000066654"
"898","ENSG00000066697"
"899","ENSG00000066735"
"900","ENSG00000066739"
"901","ENSG00000066777"
"902","ENSG00000066827"
"903","ENSG00000066855"
"904","ENSG00000066923"
"905","ENSG00000066926"
"906","ENSG00000066933"
"907","ENSG00000067057"
"908","ENSG00000067064"
"909","ENSG00000067066"
"910","ENSG00000067082"
"911","ENSG00000067113"
"912","ENSG00000067141"
"913","ENSG00000067167"
"914","ENSG00000067177"
"915","ENSG00000067182"
"916","ENSG00000067191"
"917","ENSG00000067208"
"918","ENSG00000067221"
"919","ENSG00000067225"
"920","ENSG00000067248"
"921","ENSG00000067334"
"922","ENSG00000067365"
"923","ENSG00000067369"
"924","ENSG00000067445"
"925","ENSG00000067533"
"926","ENSG00000067560"
"927","ENSG00000067596"
"928","ENSG00000067601"
"929","ENSG00000067606"
"930","ENSG00000067704"
"931","ENSG00000067715"
"932","ENSG00000067798"
"933","ENSG00000067829"
"934","ENSG00000067836"
"935","ENSG00000067840"
"936","ENSG00000067900"
"937","ENSG00000067955"
"938","ENSG00000067992"
"939","ENSG00000068001"
"940","ENSG00000068024"
"941","ENSG00000068028"
"942","ENSG00000068078"
"943","ENSG00000068079"
"944","ENSG00000068097"
"945","ENSG00000068120"
"946","ENSG00000068137"
"947","ENSG00000068305"
"948","ENSG00000068308"
"949","ENSG00000068323"
"950","ENSG00000068354"
"951","ENSG00000068366"
"952","ENSG00000068383"
"953","ENSG00000068394"
"954","ENSG00000068400"
"955","ENSG00000068438"
"956","ENSG00000068489"
"957","ENSG00000068615"
"958","ENSG00000068650"
"959","ENSG00000068654"
"960","ENSG00000068697"
"961","ENSG00000068724"
"962","ENSG00000068745"
"963","ENSG00000068784"
"964","ENSG00000068793"
"965","ENSG00000068796"
"966","ENSG00000068831"
"967","ENSG00000068878"
"968","ENSG00000068885"
"969","ENSG00000068903"
"970","ENSG00000068912"
"971","ENSG00000068971"
"972","ENSG00000068976"
"973","ENSG00000069011"
"974","ENSG00000069020"
"975","ENSG00000069122"
"976","ENSG00000069188"
"977","ENSG00000069248"
"978","ENSG00000069275"
"979","ENSG00000069329"
"980","ENSG00000069345"
"981","ENSG00000069399"
"982","ENSG00000069424"
"983","ENSG00000069431"
"984","ENSG00000069482"
"985","ENSG00000069493"
"986","ENSG00000069509"
"987","ENSG00000069535"
"988","ENSG00000069667"
"989","ENSG00000069702"
"990","ENSG00000069712"
"991","ENSG00000069764"
"992","ENSG00000069812"
"993","ENSG00000069849"
"994","ENSG00000069869"
"995","ENSG00000069943"
"996","ENSG00000069956"
"997","ENSG00000069966"
"998","ENSG00000069974"
"999","ENSG00000069998"
"1000","ENSG00000070010"
"1001","ENSG00000070018"
"1002","ENSG00000070019"
"1003","ENSG00000070047"
"1004","ENSG00000070061"
"1005","ENSG00000070081"
"1006","ENSG00000070087"
"1007","ENSG00000070159"
"1008","ENSG00000070182"
"1009","ENSG00000070190"
"1010","ENSG00000070214"
"1011","ENSG00000070269"
"1012","ENSG00000070366"
"1013","ENSG00000070367"
"1014","ENSG00000070371"
"1015","ENSG00000070388"
"1016","ENSG00000070404"
"1017","ENSG00000070413"
"1018","ENSG00000070423"
"1019","ENSG00000070444"
"1020","ENSG00000070476"
"1021","ENSG00000070495"
"1022","ENSG00000070501"
"1023","ENSG00000070540"
"1024","ENSG00000070601"
"1025","ENSG00000070610"
"1026","ENSG00000070614"
"1027","ENSG00000070669"
"1028","ENSG00000070718"
"1029","ENSG00000070729"
"1030","ENSG00000070731"
"1031","ENSG00000070756"
"1032","ENSG00000070759"
"1033","ENSG00000070761"
"1034","ENSG00000070770"
"1035","ENSG00000070778"
"1036","ENSG00000070785"
"1037","ENSG00000070814"
"1038","ENSG00000070831"
"1039","ENSG00000070882"
"1040","ENSG00000070950"
"1041","ENSG00000070961"
"1042","ENSG00000071051"
"1043","ENSG00000071054"
"1044","ENSG00000071073"
"1045","ENSG00000071082"
"1046","ENSG00000071127"
"1047","ENSG00000071189"
"1048","ENSG00000071205"
"1049","ENSG00000071242"
"1050","ENSG00000071243"
"1051","ENSG00000071246"
"1052","ENSG00000071282"
"1053","ENSG00000071462"
"1054","ENSG00000071537"
"1055","ENSG00000071539"
"1056","ENSG00000071553"
"1057","ENSG00000071564"
"1058","ENSG00000071575"
"1059","ENSG00000071626"
"1060","ENSG00000071655"
"1061","ENSG00000071794"
"1062","ENSG00000071859"
"1063","ENSG00000071889"
"1064","ENSG00000071894"
"1065","ENSG00000071909"
"1066","ENSG00000071967"
"1067","ENSG00000071994"
"1068","ENSG00000072042"
"1069","ENSG00000072062"
